question	cognitive_domain	content_domain
M052505	Knowing	Data and Chance
M052413	Knowing	Number
M042052	Knowing	Number
M052209	Knowing	Number
M062208A	Knowing	Number
M042182	Applying	Number
M042203	Applying	Geometry
M042194	Knowing	Number
M052103	Knowing	Algebra
M052229	Knowing	Number
M052419B	Knowing	Data and Chance
M062223	Applying	Algebra
M062335	Knowing	Number
M062194	Reasoning	Geometry
M062164	Knowing	Number
M062329	Knowing	Number
M062076	Applying	Algebra
M062208D	Knowing	Number
M042183	Knowing	Number
M062208C	Knowing	Number
M052058A	Applying	Number
M052047	Applying	Geometry
M052502	Applying	Data and Chance
M052079	Applying	Number
M042049	Knowing	Algebra
M042060	Knowing	Number
M042015	Knowing	Number
M052426	Knowing	Data and Chance
M062142	Applying	Number
M052064	Knowing	Algebra
M052215	Knowing	Number
M052017	Knowing	Number
M062123A	Knowing	Data and Chance
M062067	Knowing	Algebra
M052034	Knowing	Number
M052067	Knowing	Algebra
M042234	Knowing	Algebra
M052063	Applying	Algebra
M052134	Knowing	Number
M062150	Knowing	Number
M062154	Applying	Number
M052161	Applying	Data and Chance
M062132A	Knowing	Data and Chance
M042196	Knowing	Data and Chance
M052082	Applying	Geometry
M062005	Knowing	Number
M052073	Knowing	Algebra
M052115	Applying	Data and Chance
M062202	Reasoning	Geometry
M052418B	Applying	Data and Chance
M042100	Knowing	Algebra
M062111B	Applying	Number
M062146	Applying	Number
M042120	Knowing	Geometry
M062208B	Knowing	Number
M042114A	Knowing	Number
M052419A	Knowing	Data and Chance
M042081	Knowing	Number
M062174	Applying	Geometry
M052407	Applying	Geometry
M062143	Reasoning	Number
M042151	Applying	Geometry
M042202	Applying	Algebra
M062111A	Applying	Number
M062001	Knowing	Number
M052417	Applying	Geometry
M042224	Knowing	Data and Chance
M062271	Knowing	Number
M042255	Applying	Data and Chance
M062345A	Applying	Data and Chance
M042019	Knowing	Number
M052147	Applying	Number
M042114B	Applying	Number
M042302A	Applying	Number
M062320	Applying	Data and Chance
M042159	Applying	Data and Chance
M062153	Applying	Number
M062215	Applying	Number
M062171	Knowing	Geometry
M052024	Knowing	Number
M052418A	Applying	Data and Chance
M052095	Knowing	Number
M042261	Knowing	Data and Chance
M052042	Applying	Geometry
M052364	Applying	Number
M052121A	Reasoning	Algebra
M062149	Applying	Algebra
M052066	Applying	Algebra
M062208	Knowing	Number
M062300	Reasoning	Geometry
M062242	Reasoning	Algebra
M042158	Knowing	Data and Chance
M052039	Applying	Geometry
M042229Z	Applying	Algebra
M052146A	Reasoning	Algebra
M052072	Knowing	Algebra
M052057	Reasoning	Geometry
M042302B	Applying	Number
M042240	Applying	Algebra
M052422A	Applying	Data and Chance
M052078	Applying	Number
M062124	Knowing	Data and Chance
M052174A	Applying	Number
M052131	Applying	Algebra
M062250A	Applying	Geometry
M052204	Knowing	Number
M052016	Applying	Number
M042076	Knowing	Algebra
M052021	Reasoning	Number
M062095	Applying	Algebra
M042023	Applying	Number
M042109	Applying	Algebra
M062214	Applying	Number
M042243	Knowing	Algebra
M042271	Applying	Geometry
M042050	Knowing	Algebra
M052083	Applying	Geometry
M042252	Applying	Data and Chance
M042080A	Knowing	Algebra
M052217	Reasoning	Number
M042248	Knowing	Algebra
M062133	Applying	Data and Chance
M062183	Applying	Geometry
M062120	Knowing	Data and Chance
M052130	Knowing	Algebra
M062072	Applying	Data and Chance
M052090	Applying	Algebra
M042229B	Knowing	Algebra
M062296	Reasoning	Data and Chance
M052125	Reasoning	Number
M042164	Reasoning	Data and Chance
M062230	Knowing	Algebra
M062030	Applying	Algebra
M062325	Knowing	Data and Chance
M052035	Knowing	Number
M062173	Reasoning	Geometry
M052208	Reasoning	Geometry
M042268	Reasoning	Geometry
M062219	Applying	Number
M062284	Knowing	Geometry
M062192	Applying	Geometry
M062123B	Applying	Data and Chance
M052422B	Applying	Data and Chance
M052126	Applying	Algebra
M052110	Knowing	Algebra
M052410	Applying	Data and Chance
M042074A	Reasoning	Algebra
M062170	Reasoning	Geometry
M052142	Applying	Number
M062152	Applying	Number
M042229A	Applying	Algebra
M062002	Reasoning	Number
M062078	Reasoning	Algebra
M062241	Applying	Algebra
M052421	Reasoning	Data and Chance
M052036	Applying	Geometry
M062139	Applying	Number
M042132	Reasoning	Geometry
M062317	Knowing	Algebra
M062314	Knowing	Algebra
M052006	Reasoning	Number
M062132B	Applying	Data and Chance
M062344	Applying	Data and Chance
M062105	Reasoning	Algebra
M062151	Reasoning	Number
M052087	Applying	Algebra
M052068	Knowing	Algebra
M062040	Applying	Geometry
M052501	Reasoning	Data and Chance
M042167	Reasoning	Data and Chance
M042257	Reasoning	Geometry
M062027	Reasoning	Algebra
M062346	Applying	Number
M052058B	Applying	Number
M062351	Knowing	Algebra
M062250B	Applying	Geometry
M042112	Applying	Algebra
M042074B	Reasoning	Algebra
M042066	Reasoning	Algebra
M062106	Knowing	Data and Chance
M062244	Applying	Geometry
M062246	Reasoning	Geometry
M062056	Knowing	Algebra
M052170	Applying	Data and Chance
M062074	Applying	Algebra
M062212	Applying	Number
M062237	Applying	Algebra
M062245	Applying	Geometry
M042093	Applying	Algebra
M042074C	Reasoning	Algebra
M042080B	Knowing	Algebra
M052044	Reasoning	Geometry
M062286	Applying	Geometry
M052174B	Applying	Number
M052146B	Reasoning	Algebra
M042264	Reasoning	Geometry
M062261	Reasoning	Geometry
M052094	Reasoning	Number
M052121B	Reasoning	Algebra
M052048	Applying	Geometry
M062301	Reasoning	Geometry
M062341	Knowing	Algebra
M042302C	Reasoning	Number
M052041	Reasoning	Geometry
M052046	Reasoning	Geometry
M042197	Reasoning	Algebra
M062115	Applying	Data and Chance
M062287	Reasoning	Geometry
M062288	Applying	Geometry
M062084	Knowing	Algebra
M052105	Applying	Algebra
M062254	Reasoning	Data and Chance
M062350	Applying	Algebra
M052092	Applying	Algebra
M052117	Applying	Data and Chance
